Image composition,Subjective,Lighting,Color Palette,Background ,Prints,Text,Symbols,Artistic license,Year tags,Errors
,,,,,,,,,,
View Angle,Common,Directional,Single color themes,Colors,Patterns,Image metadata,2D shapes,Major changes,Year,Flaws
dutch angle,Attractive,backlighting,aqua theme,aqua background,Argyle,Artist name,Arrow,animalization,2024,aliasing
from above,Awesome,sidelighting,black theme,beige background,Asa No Ha,Character name,asterisk,foodification,2023,anatomical nonsense
from behind,Beautiful,underlighting,blue theme,black background,Camouflage,Character signature,Circle,furrification,2022,artistic error
from below,Childish,,brown theme,blue background,Checkered,Circle name,Crescent,humanization,2021,bad anatomy
from side,Color,Types,green theme,brown background,Colored stripes,Commissioner name,Decagram,mechanization,2020,bad aspect ratio
pov,Cool,bloom,grey theme,green background,Diagonal stripes,Company name,Diamond,monsterification,2019,bad feet
sideways,Cute,caustics,orange theme,grey background,Double vertical stripe,Completion time,Dodecagram,objectification,2018,bad hands
straight-on,Adorable,crack of light,pink theme,orange background,Gingham,Content rating,Druze star,personification,2017,bad proportions
upside-down,Kawaii,moonlight,purple theme,pink background,Honeycomb,Copyright name,Enneagram,slimification,2016,bad reflection
,Disgusting,refraction,red theme,purple background,Horizontal Stripes,Dated,Hendecagram,vehicalization,2015,bleed through
Perspective / Depth,Epic,spotlight,white theme,red background,Houndstooth,Group name,Heptagon,zombification,2014,blurry
atmospheric perspective,Erotic,stage lights,yellow theme,sepia background,Invasion stripes,Logo,Heptagram,,2013,censored
fisheye,Good,sunlight,,tan background,Multicolored stripes,Signature,Hexagon,Whole attire,2012,crease
panorama,Great,,Neutral Palettes,white background,Pinstripe pattern,Song name,Hexagram,adapted costume,2011,decensored
perspective,Gorgeous,Light sources,dark,yellow background,Plaid,Twitter username,inverted pentagram,alternate costume,2010,derivative work
vanishing point,Handsome,candlelight,greyscale,,Polka dot,Watermark,Octagon,casual,2009,detexted
,Helpless,ceiling light,high contrast,Multiple colors,Sayagata,Weapon name,Octagram,contemporary,2008,downscaled
Composition,Hentai,chandelier,lineart,gradient background,Seigaiha,Web address,Pentagon,cosplay,2007,duplicate
afterimage,Ecchi,desk lamp,monochrome,heaven condition,Striped,,Pentagram,costume combination,2006,extra digits
border,Lewd,embers,muted color,multicolored background,Tiger stripes,Misc,Rectangle,costume switch,2005,extraction
bust chart,Love,fire,negative,rainbow background,Vertical stripes,Backwards text,red star,enmaided,2004,gif artifacts
character chart,Perfect,flashlight,pale color,two-tone background,Yagasuri,Body writing,spoken star,,2003,glaze artifacts
chart,Pretty,glowstick,shadow,,,Calendar (medium),Square,Specific clothes or accessories,2002,hard-translated
collage,Sexy,lamp,,Patterns,Specific prints,Clothes writing,Star,alternate headwear,2001,image macro
column lineup,Squeezable,lamppost,Partial Coloring,argyle background,Animal print,Detexted,Star of David,alternate weapon,2000,image sample
diagram,Thick,lantern,greyscale with colored background,checkered background,Bat print,Dialogue Box,Star of Lakshmi,bespectacled,1999,jpeg artifacts
fading border,Thicc,moon,partially colored,dotted background,Bear print,Foreground text,Triangle,headwear switch,1998,lossless-lossy
