Technology,Armor,Weapons,Ground Vehicles,Water Vehicles,Air Vehicles,Items,Furnitures,Music intruments
,,,,,,,,
Themes,Head,Explosives,Small Vehicles,Small Vehicles,Small Vehicles,Kitchen,Furniture,Strings
Science fiction,armored twintails,Artillery,Bicycle,Surfboard,Broom,Baking tray,Sofa,Violin
Cyberpunk,balaclava,Bomb,Roller skates,Jet ski,Broom Riding,Blender,Armchair,Viola
Steampunk,faceplate,Cannon,Ice skates,Paddleboard,Broom Surfing,Bowl,Coffee Table,Cello
Fantasy,forehead protector,Grenade,Electric scooter,Kayak,Dragonfly Drone,Can opener,Dining Table,Double Bass
Mechanization,helm,Mine,Skateboard,Canoe,Electric Glider,Coffee maker,Dining Chairs,Acoustic Guitar
Personification,helmet,Mortar,Segway,Rowboat,Exosuit Flyer,Colander,Bed,Electric Guitar
Mecha musume,kabuto,,Moped,Dinghy,Gyrocopter,Cup,Nightstand,Electric Bass
OS-tan,kettle helm,Launchers & missile weaponry,Tricycle,Paddle boat,Hoverboard,Cutting board,Dresser,Harp
,morion,Grenade launcher,Scooter,Inflatable boat,Jetpack,Dishwasher,Wardrobe,Banjo
Robots & artificial life,pith helmet,Missile,Motorized wheelchair,Airboat,Nano-Drone,Food processor,Bookshelf,Mandolin
Android,spiked helmet,Rocket launcher,Personal watercraft,Zodiac boat,Paraglider,Fork,Entertainment Center,Ukulele
Robot joints,visor (armor),Multishot rocket launcher,Hoverboard,Pirogue,Raven Drone,Glass,Desk,Sitar
Mechanical parts,winged helmet,,Electric unicycle,Raft,Tetrahedral Drone,Grater,Office Chair,Lyre
Robot ears,,Guns types,Razor scooter,Wetbike,Wind Glider,Ice cube tray,Recliner,Bouzouki
Cyborg,Neck,handgun,Sidecar,Hydrofoil,Zero-Gravity Sled,Knife,Bench,Balalaika
Mecha,gorge,revolver,Golf cart,Sailboard,,Ladle,Side Table,Dulcimer
Robot dragon,shikoro,machine gun,Rickshaw,,Medium Vehicles,Measuring cups,Cabinet,Lute
Replicant,,light machine gun,Pedicab,Medium Vehicles,Helicopter,Meat thermometer,Storage Unit,Charango
Robot,Shoulders,heavy machine gun,Electric bike,Boat,Jet,Microwave,Buffet,Guitarrón
Robot animal,pauldrons,rifle,Mini bike,Fishing boat,Ornithopter,Microwave-safe dish,Console Table,Rebab
,shoulder pads,assault rifle,one-wheeled scooter,Police boat,Seaplane,Mixing bowl,Hallway Table,
