Subject,Hair,Face,Eyes,Ears,Mouth,Neck,Shoulrders,Breasts,Hands,Skin,Posture,Wings,Tail,Anatomy
,,,,,,,,,,,,,,
Female,Specific colors,Emotions,Iris,Animal ears,Colors,Anatomy of the neck,Anatomy of shoulders,Breast sizes,Hand on Self - Shoulders and up,Normal colors,Basic positions,Colors (Solid),Number of tails,Upper Torso
1girl,aqua hair,anger vein,@ @,animal ear headphones,Aqua lips,collarbone,Broad shoulders,flat chest,Adjusting eyewear,Dark skin,balancing,Alternate wing color,Multiple tails,areolae
2girls,black hair,angry,amber eyes,animal ears,Black lips,long neck,Nape,gigantic breasts,hand on headwear,dark-skinned female,butterfly sitting,Black wings,No tail,armpits
3girls,blonde hair,annoyed,aqua eyes,bat ears,Blue lips,nape,Shoulder blades,huge breasts,hand on own cheek,dark-skinned male,crossed legs,Blue wings,Tail,back
4girls,blue hair,annoyed,black eyes,bear ear headphones,brown lips,neck,,large breasts,hand on own chin,dark-skinned other,crossed legs,Brown wings,,breasts
5girls,brown hair,blush,blue eyes,bear ears,gold lips,,Accessories,medium breasts,Hand on own ear,Pale skin,crossed legs,Green wings,Supernatural tails,collarbone
6+girls,dark blue hair,blush stickers,brown eyes,cat ear headphones,Green lips,Actions / Posture,Epaulettes,small breasts,hand on own face,Sun tattoo,fetal position,Grey wings,Demon tail,covered nipples
multiple girls,dark green hair,bored,dashed eyes,cat ears,Grey lips,adjusting collar,Jacket on shoulders,,Hand on own forehead,Tan,figure four sitting,Pink wings,Dragon tail,glands of montgomery
female,green hair,clenched teeth,green eyes,cow ears,lipstick,arm around neck,Pauldrons,Descriptions of breasts,Hand on own head,Tanlines,hugging own legs,Red wings,Ghost tail,heart
woman,grey hair,closed eyes,grey eyes,deer ears,multicolored lips,arms around neck,Puffy sleeves,asymmetrical breasts,hands on headwear,Very dark skin,indian style,White wings,Pikachu tail,inverted nipples
old woman,light blue hair,confused,heterochromia,dog ears,Orange lips,hand on another's neck,Shirt on shoulders,bouncing breasts,hands on own cheek,,kneeling,Yellow wings,Snake head tail,large areolae
tomboy,light brown hair,crazy,mismatched irises,extra ears,Pink lips,hand on own neck,Shoulder pads,breasts apart,hands on own chin,Abnormal colors,legs apart,,,long neck
reverse trap,light green hair,depressed,multicolored eyes,fake animal ears,Purple lips,kissing neck,,floating breasts,Hands on own ear,Black skin,lotus position,Color Variations,Elemental tails,lungs
genderswap (otf),light purple hair,despair,orange eyes,ferret ears,Red lips,neck biting,Exposed shoulders,hanging breasts,hands on own face,Blue skin,lying,Gradient wings,Crystal tail,neck
,orange hair,determined,Pac-man eyes,floppy ears,Shiny lips,necking,Bare shoulders,perky breasts,Hands on own forehead,colored skin,on one knee,Multicolored wings,Energy tail,nipples
Male,pink hair,disappointed,pink eyes,fox ears,silver lips,,Off shoulder,pointy breasts,Hands on own head,Green skin,seiza,Rainbow wings,Fiery tail,no nipples
1boy,purple hair,disdain,purple eyes,goat ears,white lips,,Off-shoulder bikini,sagging breasts,head rest,Grey skin,sitting,Transparent wings,Ice tail,pectorals
